,area,title,community,position,tax,total_price,unit_price,hhid,link,hourseType,hourseSize,direction,fitment,level,buildTime
0,回龙观,2016年次新房 电梯两居 南向采光好 诚意出售,北京城建畅悦居D区,回龙观,房本满五年,296.0,34503.0,101125936285,https://bj.lianjia.com/ershoufang/101125936285.html,2室2厅,85.79,南,简装,低楼层(共21层),2016年
1,回龙观,联排小边户，首层有顶有天台，楼间距大，采光好,华远静林湾,回龙观,房本满五年,1280.0,53044.0,101126326671,https://bj.lianjia.com/ershoufang/101126326671.html,4室2厅,241.31,南 北,精装,3层,暂无数据
2,回龙观,商品房满五年，一套，高楼层，无遮挡，电梯房。婚房装,领秀慧谷B区,回龙观,房本满五年,409.0,49812.0,101126478413,https://bj.lianjia.com/ershoufang/101126478413.html,2室1厅,82.11,南 北,精装,高楼层(共11层),2011年
3,回龙观,满五年唯一，次顶层带电梯，户型方正，诚心出售,流星花园三区,回龙观,房本满五年,259.0,54850.0,101126637407,https://bj.lianjia.com/ershoufang/101126637407.html,1室1厅,47.22,北,精装,高楼层(共11层),板塔结合
4,回龙观,万科金域华府 万科物业管理 南向方正 商品房满五,金域华府一期,回龙观,房本满五年,539.0,60386.0,101125670840,https://bj.lianjia.com/ershoufang/101125670840.html,2室1厅,89.26,南,简装,28层,2012年
5,回龙观,田园风光雅苑 3室1厅 南 北,田园风光雅苑,回龙观,房本满五年,520.0,41594.0,101124332122,https://bj.lianjia.com/ershoufang/101124332122.html,3室1厅,125.02,南 北,精装,中楼层(共6层),板楼
6,回龙观,北京人家 满五唯一 大三居随时看房,北京人家,回龙观,房本满五年,519.0,39816.0,101122986207,https://bj.lianjia.com/ershoufang/101122986207.html,3室2厅,130.35,南 北,简装,6层,2002年
7,回龙观,和谐家园一层三居，40万装修诚意出售看房随时,和谐家园一区,回龙观,,509.0,42616.0,101125673616,https://bj.lianjia.com/ershoufang/101125673616.html,3室1厅,119.44,南 北,精装,6层,板楼
8,回龙观,万龙社区南北通透两居全明格局停车方便,万龙社区,回龙观,,320.0,48863.0,101118910405,https://bj.lianjia.com/ershoufang/101118910405.html,2室1厅,65.49,南 北,简装,底层(共6层),板楼
9,回龙观,流星花园三区 金地物业 小2居 精装修 不临街,流星花园三区,回龙观,,309.0,51933.0,101124906080,https://bj.lianjia.com/ershoufang/101124906080.html,2室1厅,59.5,东 北,精装,低楼层(共11层),2006年
10,回龙观,成熟别墅区 百万精装修 无增值税诚意出售 前后花园,流星花园一区,回龙观,房本满五年,1390.0,47920.0,101126236134,https://bj.lianjia.com/ershoufang/101126236134.html,5室3厅,290.07,南 北,精装,3层,暂无数据
11,回龙观,流星花园三区 南北通透三居室 中高楼层 视野无遮挡,流星花园三区,回龙观,房本满五年,605.0,49729.0,101124605431,https://bj.lianjia.com/ershoufang/101124605431.html,3室2厅,121.66,南 北,精装,中楼层(共11层),2006年
12,回龙观,首付60万 电梯房一居 电梯直达车库 带固定车位,龙泽苑东区,回龙观,房本满五年,279.0,47677.0,101123348335,https://bj.lianjia.com/ershoufang/101123348335.html,1室1厅,58.52,东北,精装,11层,2003年
13,回龙观,北京城建畅悦居D区，中高层，精装修，采光好，视野好,北京城建畅悦居D区,回龙观,房本满五年,295.0,34387.0,101126610363,https://bj.lianjia.com/ershoufang/101126610363.html,2室1厅,85.79,南,其他,高楼层(共21层),2016年
14,回龙观,流星花园三区，电梯花园洋房，正规南北三居室,流星花园三区,回龙观,房本满五年,588.0,46111.0,101123253295,https://bj.lianjia.com/ershoufang/101123253295.html,3室1厅,127.52,南 北,其他,低楼层(共6层),板楼
