,area,title,community,position,tax,total_price,unit_price,hhid,link,hourseType,hourseSize,direction,fitment,level,buildTime
0,双井,富力十号南北向3居楼层高采光好没有遮挡,富力十号,双井,房本满五年,3400.0,147904.0,101117510906,https://bj.lianjia.com/ershoufang/101117510906.html,3室2厅,229.88,南 北,精装,18层,2012年建
1,双井,首城国际B区 南北通透三居室 产权清晰 随时看房,首城国际B区,双井,房本满五年,980.0,109915.0,101117391883,https://bj.lianjia.com/ershoufang/101117391883.html,3室1厅,89.16,南 北,精装,顶层(共28层),板楼
2,双井,南北小三居 双卫 保养很好  满二年 随时可看,首城国际A区,双井,,838.0,91997.0,101116973492,https://bj.lianjia.com/ershoufang/101116973492.html,3室1厅,91.09,南 北,精装,底层(共18层),2010年建
3,双井,高层南北小三居 功能性强 看花园 采光好 婚房装修,首城国际D区,双井,房本满五年,970.0,107504.0,101116579549,https://bj.lianjia.com/ershoufang/101116579549.html,3室1厅,90.23,南 北,精装,高楼层(共28层),板楼
4,双井,合生国际全明格局。南北通透精装观景三居室。,合生国际花园,双井,房本满五年,1378.0,100175.0,101115893901,https://bj.lianjia.com/ershoufang/101115893901.html,3室2厅,137.56,南 北,精装,24层,2007年建
5,双井,印象首城 正观小区花园 视野开阔,首城国际C区,双井,房本满五年,1530.0,103533.0,101116945949,https://bj.lianjia.com/ershoufang/101116945949.html,3室1厅,147.78,南,精装,中楼层(共28层),2011年建
6,双井,双井地铁口，不临街看花园两居，中间层，双卫，保养好,天之骄子,双井,,950.0,87077.0,101117472300,https://bj.lianjia.com/ershoufang/101117472300.html,2室1厅,109.1,西,精装,中楼层(共20层),板楼
7,双井,九龙花园南北通透三居 精装修 诚意卖 看房提前约,九龙花园,双井,房本满五年,980.0,46371.0,101117478812,https://bj.lianjia.com/ershoufang/101117478812.html,3室1厅,211.34,南 北,精装,中楼层(共14层),2000年建
8,双井,首城国际D区南北通透小三居，全明格局方正实用,首城国际D区,双井,房本满五年,970.0,106935.0,101117487763,https://bj.lianjia.com/ershoufang/101117487763.html,3室1厅,90.71,南 北,精装,中楼层(共28层),板楼
9,双井,满五年唯一，高楼层，1年前精装修，随时可看,双花园南里一区,双井,房本满五年,770.0,63663.0,101117394570,https://bj.lianjia.com/ershoufang/101117394570.html,2室1厅,120.95,东,精装,22层,塔楼
10,双井,富力城D区，首套可贷600+，中间位置，稳定签约,富力城D区,双井,,1345.0,123384.0,101117424391,https://bj.lianjia.com/ershoufang/101117424391.html,2室1厅,109.01,南,精装,22层,2005年建
11,双井,华腾园正规两居室，精装修自住，看房方便,华腾园,双井,房本满五年,741.0,79919.0,101116872023,https://bj.lianjia.com/ershoufang/101116872023.html,2室2厅,92.72,西南,精装,低楼层(共24层),2003年建
12,双井,给周期 满五唯一 50万精装 自住可看房,双花园南里一区,双井,房本满五年,750.0,51986.0,101116870850,https://bj.lianjia.com/ershoufang/101116870850.html,3室1厅,144.27,西北,精装,22层,塔楼
13,双井,客厅面宽4.4米，满五年唯一，可给换房周期，诚意出售,苹果社区南区,双井,房本满五年,868.0,92272.0,101114798067,https://bj.lianjia.com/ershoufang/101114798067.html,2室1厅,94.07,东北,精装,23层,2006年建
14,双井,九龙花园南北向两居室 格局好诚意卖随时看房,九龙花园,双井,房本满五年,685.0,70875.0,101116909139,https://bj.lianjia.com/ershoufang/101116909139.html,2室2厅,96.65,南 北,简装,中楼层(共14层),1998年建
15,双井,可贷款 ，高楼层 无遮挡 通风采光好 视野开阔,首城国际D区,双井,,980.0,108612.0,101116202637,https://bj.lianjia.com/ershoufang/101116202637.html,3室1厅,90.23,南 北,精装,高楼层(共28层),2010年建
16,双井,百环西南正规两居，观花园，无遮挡，业主诚售,百环家园,双井,房本满五年,578.0,63566.0,101116013734,https://bj.lianjia.com/ershoufang/101116013734.html,2室1厅,90.93,西南,简装,低楼层(共26层),2005年建
17,双井,双井时代国际 南北通透 一梯五户 采光好 位置好,时代国际嘉园,双井,房本满五年,978.0,105038.0,101116049077,https://bj.lianjia.com/ershoufang/101116049077.html,2室2厅,93.11,南 北,简装,高楼层(共12层),2006年建
18,双井,富力城D区 双地铁 国贸后花园的南向两居,富力城D区,双井,房本满五年,1248.0,115599.0,101117260340,https://bj.lianjia.com/ershoufang/101117260340.html,2室1厅,107.96,南,精装,14层,2008年建
19,双井,梦幻首城 满五唯一 业主诚意卖 随时可看,首城国际A区,双井,房本满五年,778.0,88540.0,101117194423,https://bj.lianjia.com/ershoufang/101117194423.html,2室1厅,87.87,西,精装,底层(共18层),2010年建
