,area,title,community,position,tax,total_price,unit_price,hhid,link,hourseType,hourseSize,direction,fitment,level,buildTime
0,天河,中怡城市花园 西南向三房 安静望小区园林 看房方便,中怡城市花园,林和,房本满五年,1160.0,106442.0,108405104534,https://gz.lianjia.com/ershoufang/108405104534.html,3室2厅,108.98,西南,其他,低楼层(共32层),2004年
1,天河,此房满五年，高层视野开阔，带阳台的，朝南小三房,新世界东逸花园,天河公园,房本满五年,860.0,90166.0,108405109149,https://gz.lianjia.com/ershoufang/108405109149.html,3室1厅,95.38,南,其他,高楼层(共18层),2003年
2,天河,珠江花城大两房 楼层好户型好 视野采光优秀,珠江花城,黄村,,399.0,54375.0,108405111196,https://gz.lianjia.com/ershoufang/108405111196.html,2室1厅,73.38,北,其他,中楼层(共26层),2019年
3,天河,侨源山庄 电梯大三房 东向望花园采光好 安静舒服,侨源山庄,粤垦,房本满五年,433.0,38810.0,108405110047,https://gz.lianjia.com/ershoufang/108405110047.html,3室2厅,111.57,东南,其他,中楼层(共20层),1998年
4,天河,金燕三期，南向大两房，双阳台，单边位，采光好,金燕花苑,燕塘,房本满五年,345.0,43013.0,108405110203,https://gz.lianjia.com/ershoufang/108405110203.html,2室2厅,80.21,南,简装,低楼层(共9层),1999年
5,天河,电梯二房，过五年，唯一户型好 通风采光好,天平花苑,沙太南,房本满五年,198.0,30880.0,108405114490,https://gz.lianjia.com/ershoufang/108405114490.html,2室2厅,64.12,东南,其他,9层,1996年
6,天河,好楼层2房 使用率高 业主诚心放卖 看房方便！,员村新村,员村,,205.0,34541.0,108405125955,https://gz.lianjia.com/ershoufang/108405125955.html,2室1厅,59.35,南,简装,低楼层(共6层),1980年
7,天河,天河北  金田花苑二期  原装电梯中间层三房,金田花苑,天润路,,650.0,71171.0,108405115325,https://gz.lianjia.com/ershoufang/108405115325.html,3室2厅,91.33,东南,其他,中楼层(共19层),1997年
8,天河,业主诚心卖房，看房方便，花园小区,创逸雅苑,龙口东,房本满五年,780.0,81437.0,108405131065,https://gz.lianjia.com/ershoufang/108405131065.html,2室1厅,95.78,北,精装,低楼层(共35层),2009年
9,天河,南向四房，南北对流，采光充足，交通便利，随时看房,华景新城芳满庭园,华景新城,房本满五年,900.0,70789.0,108405027493,https://gz.lianjia.com/ershoufang/108405027493.html,4室2厅,127.14,南,简装,中楼层(共32层),2005年
