,area,title,community,position,tax,total_price,unit_price,hhid,link,hourseType,hourseSize,direction,fitment,level,buildTime
0,南部卧城,2梯三户，高楼层，2022年4月底满五过户税费少,开元名郡,南部卧城,,268.0,30113.0,103118554135,https://hz.lianjia.com/ershoufang/103118554135.html,3室2厅,89.0,南,毛坯,高楼层(共20层),板楼
1,南部卧城,此房由葛逸伦维护看房可咨询房子是恒大装修新的一批,恒大帝景,南部卧城,,270.0,30805.0,103118422598,https://hz.lianjia.com/ershoufang/103118422598.html,4室1厅,87.65,南,精装,30层,板楼
2,南部卧城,精装修 户型好 采光好 业主诚心出售,恒大帝景,南部卧城,,285.0,33716.0,103117231233,https://hz.lianjia.com/ershoufang/103117231233.html,4室1厅,84.53,南,精装,30层,板楼
3,南部卧城,广和公寓 1室1厅 南,广和公寓,南部卧城,房本满五年,168.0,32296.0,103117211652,https://hz.lianjia.com/ershoufang/103117211652.html,1室1厅,52.02,南,简装,低楼层(共5层),板楼
4,南部卧城,70年产权的住宅，近地铁， 满五年 ，户型好,开元广场,南部卧城,房本满五年,265.0,33002.0,103116634991,https://hz.lianjia.com/ershoufang/103116634991.html,2室1厅,80.3,南,简装,中楼层(共32层),板楼
5,南部卧城,四季华庭满五唯一，精装修诚心卖，看房随时,绿都四季华庭,南部卧城,房本满五年,285.0,33186.0,103116950194,https://hz.lianjia.com/ershoufang/103116950194.html,3室2厅,85.88,南,精装,30层,板楼
6,南部卧城,绿都四季华庭，银泰商场，纯毛坯，楼层视野好，满五年,绿都四季华庭,南部卧城,房本满五年,295.0,33199.0,103115003581,https://hz.lianjia.com/ershoufang/103115003581.html,3室2厅,88.86,南 北,毛坯,30层,塔楼
7,南部卧城,融泰城综合体年底竣工 生活便利 户型好 楼层好 视野佳,晶典公寓,南部卧城,房本满五年,270.0,31168.0,103117761948,https://hz.lianjia.com/ershoufang/103117761948.html,3室2厅,86.63,南,精装,高楼层(共25层),板楼
8,南部卧城,天麓府，近湘湖，浙二医院旁，中楼层，采光足,碧桂园天麓府,南部卧城,,230.0,26532.0,103117597717,https://hz.lianjia.com/ershoufang/103117597717.html,3室2厅,86.69,南,毛坯,26层,板楼
9,南部卧城,采光无限好 楼层位置好 看房子随时方便的,新城香悦半岛,南部卧城,,360.0,28218.0,103118699683,https://hz.lianjia.com/ershoufang/103118699683.html,4室2厅,127.58,南 北,毛坯,高楼层(共30层),板楼
10,南部卧城,急卖，满五唯一， 婚房，业主没怎么住过，拎包入住,绿都四季华庭,南部卧城,房本满五年,320.0,36061.0,103114935391,https://hz.lianjia.com/ershoufang/103114935391.html,3室2厅,88.74,南,精装,30层,塔楼
11,南部卧城,此房由葛逸伦维护，房东诚心出售，从未住过人,绿城九龙仓桂语朝阳,南部卧城,,480.0,36389.0,103118340092,https://hz.lianjia.com/ershoufang/103118340092.html,4室1厅,131.91,南 北,精装,高楼层(共32层),板楼
12,南部卧城,旭辉璞阅  银泰旁  三开间朝南    业主诚心出售,东原旭辉璞阅,南部卧城,,278.0,31381.0,103117103780,https://hz.lianjia.com/ershoufang/103117103780.html,3室2厅,88.59,南,精装,低楼层(共27层),板楼
13,南部卧城,浙二医院旁，大户型，单价低，看房方便。,碧桂园天麓府,南部卧城,,340.0,26373.0,103118458206,https://hz.lianjia.com/ershoufang/103118458206.html,4室2厅,128.92,南,毛坯,18层,板楼
14,南部卧城,市心路边2号线地铁，绿城精装修3房,绿城九龙仓桂语朝阳,南部卧城,,370.0,38086.0,103117954668,https://hz.lianjia.com/ershoufang/103117954668.html,3室2厅,97.15,南,精装,低楼层(共32层),板楼
15,南部卧城,地铁口，绿城开发，好楼层，业主诚心出售,绿城九龙仓桂语朝阳,南部卧城,,550.0,39942.0,103117837954,https://hz.lianjia.com/ershoufang/103117837954.html,4室2厅,137.7,东 南 北,精装,高楼层(共30层),板楼
16,南部卧城,跃层，动静分离，精装交付，带地暖，楼层好，采光无遮,恒大帝景,南部卧城,,280.0,31968.0,103116643932,https://hz.lianjia.com/ershoufang/103116643932.html,4室1厅,87.59,南,精装,30层,板楼
17,南部卧城,朝阳银座 1室1厅 南 北,朝阳银座,南部卧城,,54.5,11661.0,103118440229,https://hz.lianjia.com/ershoufang/103118440229.html,1室1厅,46.74,南 北,精装,28层,板塔结合
18,南部卧城,精装修房，总价低，交通便利，采光充足。,朝阳银座,南部卧城,,55.0,11614.0,103109702483,https://hz.lianjia.com/ershoufang/103109702483.html,1室1厅,47.36,北,精装,28层,板塔结合
19,南部卧城,广元公寓 2号线曹家桥地铁口住宅 毛坯房随心装修,广元公寓,南部卧城,,239.0,22241.0,103115523859,https://hz.lianjia.com/ershoufang/103115523859.html,2室2厅,107.46,南,毛坯,高楼层(共28层),板塔结合
20,南部卧城,此房满2年的，地铁口方便，多层带电梯 精装修，楼层好,广悦公寓,南部卧城,,285.0,27492.0,103118313640,https://hz.lianjia.com/ershoufang/103118313640.html,3室1厅,103.67,南,简装,6层,板楼
21,南部卧城,精装修，总价便宜，拎包入住，房东诚心出售。,星南站,南部卧城,,85.0,21320.0,103116151826,https://hz.lianjia.com/ershoufang/103116151826.html,2室2厅,39.87,东北,精装,中楼层(共21层),板楼
22,南部卧城,御湖公馆，民用水电，中间楼层，视野好，急卖。,御湖公馆,南部卧城,,145.0,17285.0,103117889187,https://hz.lianjia.com/ershoufang/103117889187.html,2室2厅,83.89,南,毛坯,29层,板楼
23,南部卧城,南润名座小面积公寓，总价低，随时可看,南润名座,南部卧城,,32.0,19442.0,103113981683,https://hz.lianjia.com/ershoufang/103113981683.html,1室1厅,16.46,北,精装,高楼层(共20层),塔楼
24,南部卧城,浙二医院旁 小区品质高，物业管理严格，,开元名郡,南部卧城,房本满五年,295.0,33251.0,103118675862,https://hz.lianjia.com/ershoufang/103118675862.html,3室1厅,88.72,南,简装,中楼层(共20层),板楼
25,南部卧城,香山四季公馆 3室2厅 南,香山四季公馆,南部卧城,,130.0,15920.0,103118789852,https://hz.lianjia.com/ershoufang/103118789852.html,3室2厅,81.66,南,简装,19层,板楼
26,南部卧城,此房是毛坯，中间边套，楼幢位置好，高楼层，阳光充足,绿都四季华庭,南部卧城,房本满五年,298.0,33696.0,103118526841,https://hz.lianjia.com/ershoufang/103118526841.html,3室2厅,88.44,南 北,毛坯,30层,板楼
27,南部卧城,单价比公寓还便宜的房子，近地铁， 满五年 ，户型好,开元广场,南部卧城,房本满五年,535.0,28966.0,103102750755,https://hz.lianjia.com/ershoufang/103102750755.html,4室1厅,184.7,南,毛坯,32层,板楼
28,南部卧城,边套，靠河，大跃层，动静分离，精装修，拎包住，,恒大帝景,南部卧城,,440.0,32127.0,103118285013,https://hz.lianjia.com/ershoufang/103118285013.html,5室2厅,136.96,南,精装,30层,板楼
29,南部卧城,品质小区 东边套 动静分离 精装修 拎包住 满五唯一,得力名门世家,南部卧城,房本满五年,800.0,63568.0,103116403773,https://hz.lianjia.com/ershoufang/103116403773.html,5室2厅,125.85,南 东南,精装,高楼层(共32层),板塔结合
30,南部卧城,恒大帝景，纯毛坯，可自我改造，业主诚心出售。,恒大帝景,南部卧城,,335.0,24041.0,103107515141,https://hz.lianjia.com/ershoufang/103107515141.html,4室2厅,139.35,南 北,毛坯,30层,板楼
31,南部卧城,满五年唯一 南北通透 带电梯小高层 临水一线河景房,汇宇花园,南部卧城,房本满五年,527.0,27530.0,103116011930,https://hz.lianjia.com/ershoufang/103116011930.html,5室2厅,191.43,南 北,精装,18层,板楼
32,南部卧城,卧城成熟小区，顶跃格局，装修好户型好，诚心出售,颐和花园,南部卧城,房本满五年,440.0,28997.0,103108003188,https://hz.lianjia.com/ershoufang/103108003188.html,4室2厅,151.74,南,精装,6层,板塔结合
33,南部卧城,南部卧城 户型方正 交通便利 配套齐全,南江商业中心,南部卧城,房本满五年,95.0,19380.0,103118647241,https://hz.lianjia.com/ershoufang/103118647241.html,2室1厅,49.02,北,精装,低楼层(共25层),板楼
34,南部卧城,天翔憬天国际 高楼层 小区环境优美,憬天国际名座,南部卧城,房本满五年,260.0,14292.0,103102035826,https://hz.lianjia.com/ershoufang/103102035826.html,5室2厅,181.92,南,简装,27层,板楼
35,南部卧城,自住公寓 民用水电 不限买 南部卧城,金帝文源广场,南部卧城,房本满五年,288.0,23368.0,103117566612,https://hz.lianjia.com/ershoufang/103117566612.html,3室2厅,123.25,南,精装,6层,板楼
36,南部卧城,楼层高没有遮挡，纯毛坯，带车位，房东可以满两年过户,新城香悦半岛,南部卧城,,275.0,31056.0,103111642363,https://hz.lianjia.com/ershoufang/103111642363.html,3室2厅,88.55,南,毛坯,高楼层(共30层),板楼
37,南部卧城,2号线朝阳站，民水民电带天然气，两梯三户，开元物业,九悦江南,南部卧城,,251.0,19543.0,103114374768,https://hz.lianjia.com/ershoufang/103114374768.html,3室1厅,128.44,南,简装,30层,板塔结合
38,南部卧城,广悦公寓 2室1厅 南,广悦公寓,南部卧城,,229.0,26407.0,103118622295,https://hz.lianjia.com/ershoufang/103118622295.html,2室1厅,86.72,南,简装,7层,板楼
39,南部卧城,精装修 户型好 采光好 业主诚心出售,恒大帝景,南部卧城,,300.0,34228.0,103118585280,https://hz.lianjia.com/ershoufang/103118585280.html,4室1厅,87.65,南,精装,30层,板楼
40,南部卧城,地铁口  精装修双阳台 楼层好 总价低,恒大帝景,南部卧城,,288.0,32870.0,103118530486,https://hz.lianjia.com/ershoufang/103118530486.html,3室2厅,87.62,南,精装,30层,板楼
41,南部卧城,学府门第世家 满五 地铁 小区优美  有花园 5房,得力名门世家,南部卧城,房本满五年,1800.0,87362.0,103116597546,https://hz.lianjia.com/ershoufang/103116597546.html,5室2厅,206.04,南,精装,低楼层(共18层),板楼
42,南部卧城,满五唯一，四房三卫，地暖，简欧装修4年左右，好楼层,开元广场,南部卧城,房本满五年,680.0,37392.0,103117010634,https://hz.lianjia.com/ershoufang/103117010634.html,4室2厅,181.86,南,精装,高楼层(共32层),板楼
