,area,title,community,position,tax,total_price,unit_price,hhid,link,hourseType,hourseSize,direction,fitment,level,buildTime
0,浦东,此房户型方正，南北通透，配套完善，交通便利,华钜御庭(二期),惠南,,360.0,39362.0,107107777516,https://sh.lianjia.com/ershoufang/107107777516.html,2室2厅,91.46,南 北,精装,高楼层(共18层),2011年
1,浦东,上港小区精装修一房一厅中间楼层,上港小区,梅园,房本满五年,378.0,85232.0,107109752281,https://sh.lianjia.com/ershoufang/107109752281.html,1室1厅,44.35,东,精装,中楼层(共6层),1976年
2,浦东,周浦标杆楼盘，人车分流，自带2000平地下会所,新城西岸公园,周浦,,698.0,73715.0,107108135139,https://sh.lianjia.com/ershoufang/107108135139.html,3室2厅,94.69,南,精装,低楼层(共17层),2020年
3,浦东,小区绿化好，环境好居住舒适，距离16号线惠南,丽水雅苑,惠南,房本满五年,129.0,25005.0,107109152861,https://sh.lianjia.com/ershoufang/107109152861.html,1室1厅,51.59,南,毛坯,高楼层(共18层),2016年
4,浦东,高区视野好，业主诚售，必看房源,世茂滨江花园,陆家嘴,房本满五年,1920.0,119843.0,107109696546,https://sh.lianjia.com/ershoufang/107109696546.html,2室1厅,160.21,西南,精装,53层,2002年
5,浦东,新上近内环好房，大区主推，诚意出售，价格可谈,金杨新村三街坊,金杨,,210.0,47012.0,107109507485,https://sh.lianjia.com/ershoufang/107109507485.html,1室1厅,44.67,南,简装,中楼层(共6层),1995年
6,浦东,业主诚意出售，采光好，张江双子塔在建，配套设施完善,中芯花园199弄,张江,,275.0,41485.0,107107924824,https://sh.lianjia.com/ershoufang/107107924824.html,2室1厅,66.29,南,精装,高楼层(共6层),2005年
7,浦东,中环内必看法式洋房南北双阳台，次顶楼满五维1带车位,大华锦绣华城(十六街区)(公寓),北蔡,房本满五年,1100.0,110034.0,107109676943,https://sh.lianjia.com/ershoufang/107109676943.html,2室2厅,99.97,南,精装,中楼层(共5层),2010年
8,浦东,此房三开间朝南，南北正通，配套齐全，交通便利。,锦华东南苑,北蔡,房本满五年,760.0,78912.0,107108624764,https://sh.lianjia.com/ershoufang/107108624764.html,2室2厅,96.31,南,精装,低楼层(共11层),2004年
9,浦东,南北通户型带院子+近地铁13号线+业主诚意出售,川杨新苑(二期),张江,房本满五年,279.0,47791.0,107109653151,https://sh.lianjia.com/ershoufang/107109653151.html,1室1厅,58.38,南,简装,低楼层(共6层),2008年
10,浦东,精装修+次顶楼+满五年税费少+有车位,绿洲康城亲水湾(中央区),御桥,房本满五年,380.0,56523.0,107108182858,https://sh.lianjia.com/ershoufang/107108182858.html,1室1厅,67.23,南,精装,高楼层(共18层),2012年
11,浦东,满五售后公房，南北一房，全明户型，诚意出售,阳升公寓,梅园,房本满五年,400.0,78156.0,107106235529,https://sh.lianjia.com/ershoufang/107106235529.html,2室1厅,51.18,东南 南,精装,高楼层(共6层),1987年
12,浦东,上南九村 2室1厅 南,上南九村,世博,房本满五年,355.0,66567.0,107109241250,https://sh.lianjia.com/ershoufang/107109241250.html,2室1厅,53.33,南,精装,中楼层(共6层),1992年
13,浦东,总监推荐 中间楼层 满五wei 一 小区中xin位置 视野好,浦发绿城永泰路2080弄,三林,房本满五年,518.0,55723.0,107109774128,https://sh.lianjia.com/ershoufang/107109774128.html,3室2厅,92.96,南,简装,中楼层(共6层),2004年
14,浦东,双南户型采光好，满五年税费少，交通便利,东园二村,陆家嘴,房本满五年,380.0,81441.0,107104275273,https://sh.lianjia.com/ershoufang/107104275273.html,2室0厅,46.66,南,精装,6层,1988年
15,浦东,内环小户型，户型好全明，总价低带院子。,锦绣小区,联洋,,500.0,110939.0,107107483399,https://sh.lianjia.com/ershoufang/107107483399.html,1室1厅,45.07,南,简装,低楼层(共6层),1996年
16,浦东,金纬苑 2室2厅 南,金纬苑,外高桥,,370.0,42810.0,107109822519,https://sh.lianjia.com/ershoufang/107109822519.html,2室2厅,86.43,南,简装,高楼层(共6层),2003年
17,浦东,建平带电梯，21年新装修带中Y空调和地暖2+1，急售！,环球广场,梅园,,545.0,60281.0,107107434244,https://sh.lianjia.com/ershoufang/107107434244.html,2室1厅,90.41,南,精装,低楼层(共33层),1996年
18,浦东,次顶楼楼层位置好，采光好 精装修,保利铃兰公馆,临港新城,,305.0,33988.0,107109334187,https://sh.lianjia.com/ershoufang/107109334187.html,3室2厅,89.74,南,精装,高楼层(共8层),板楼
19,浦东,此房业主诚心出售，精装修，税费少，东暖夏凉,金领国际(公寓),唐镇,房本满五年,288.0,32817.0,107107031940,https://sh.lianjia.com/ershoufang/107107031940.html,3室1厅,87.76,南,精装,低楼层(共11层),2011年
20,浦东,金色中环带+陆家嘴软件园+经典户型+正气通透,康桥花园,御桥,房本满五年,366.0,41431.0,107109587299,https://sh.lianjia.com/ershoufang/107109587299.html,3室2厅,88.34,南,简装,中楼层(共6层),1995年
21,浦东,急售好房，看房方便，中间楼层，户型好,黄山始信苑,金杨,房本满五年,588.0,86662.0,107109266482,https://sh.lianjia.com/ershoufang/107109266482.html,2室2厅,67.85,南,精装,中楼层(共5层),1998年
22,浦东,好楼层 小户型 单价低 总价低 内环旁 1个点个税,天池二村,北蔡,,160.0,45507.0,107109240821,https://sh.lianjia.com/ershoufang/107109240821.html,1室0厅,35.16,南,毛坯,中楼层(共6层),1994年
23,浦东,张江南18号线沈梅路站，全南一房，自住装修，仅契税.,瑞和苑,周浦,房本满五年,177.0,32507.0,107109287439,https://sh.lianjia.com/ershoufang/107109287439.html,1室1厅,54.45,南,简装,中楼层(共14层),2008年
