,area,title,community,position,tax,total_price,unit_price,hhid,link,hourseType,hourseSize,direction,fitment,level,buildTime
0,南山,端头位户型方正 .电梯房 .带朝南窗户洗手间 全新装修.,长城二花园,百花,房本满五年,835.0,94564.0,105101168023,https://sz.lianjia.com/ershoufang/105101168023.html,2室2厅,88.3,南 北,精装,低楼层(共18层),1993年
1,南山,横岗地铁 站，精装两房，大社区小区环境优美,信义御城,横岗,房本满五年,158.0,29423.0,105114326757,https://sz.lianjia.com/ershoufang/105114326757.html,2室1厅,53.7,东南,精装,高楼层(共32层),2015年
2,南山,中海康城视野好，精装保养好，看房有钥匙，得房率高,中海康城国际一期,大运新城,房本满五年,365.0,41916.0,105115302063,https://sz.lianjia.com/ershoufang/105115302063.html,3室2厅,87.08,东南,精装,中楼层(共30层),2011年
3,南山,花园城商圈 四海地铁口物业 双育才教育 价格笋爆了,豪方悠然居,蛇口,房本满五年,830.0,80140.0,105115280167,https://sz.lianjia.com/ershoufang/105115280167.html,3室2厅,103.57,南 北,简装,中楼层(共25层),2004年
4,南山,地铁口大社区近指导价三房装修漂亮即买即住,龙华花半里花园,龙华中心,房本满五年,388.0,48199.0,105115276061,https://sz.lianjia.com/ershoufang/105115276061.html,3室2厅,80.5,东南,精装,33层,2012年
5,南山,低楼层、满五年、红本在手、居家安静,新安湖花园,新安,房本满五年,460.0,56721.0,105115291009,https://sz.lianjia.com/ershoufang/105115291009.html,3室2厅,81.1,西北,简装,低楼层(共9层),1993年
6,南山,康达尔花园五期蝴蝶堡 3室2厅 南,康达尔花园五期蝴蝶堡,布吉大芬,房本满五年,365.0,43339.0,105115295298,https://sz.lianjia.com/ershoufang/105115295298.html,3室2厅,84.22,南,简装,34层,2008年
7,南山,阳光棕榈园小高层，南北户型，前后看小区花园,阳光棕榈园二期,前海,房本满五年,835.0,72723.0,105115110295,https://sz.lianjia.com/ershoufang/105115110295.html,4室2厅,114.82,南 北,简装,6层,2003年
8,南山,小房子大容量，住家大四房，通透采光好，满五唯一,云顶天海,梅沙,房本满五年,279.0,37713.0,105115126052,https://sz.lianjia.com/ershoufang/105115126052.html,4室2厅,73.98,东,简装,低楼层(共8层),2006年
9,南山,满五年红本，朝南4房，有钥匙随时可看,畔山花园,莲塘,房本满五年,420.0,36158.0,105115120319,https://sz.lianjia.com/ershoufang/105115120319.html,4室2厅,116.16,北,简装,中楼层(共8层),1996年
10,南山,大户型 单价低  带装修业主诚心出售,丹梓龙庭,坪山,房本满五年,169.9,19240.0,105113066198,https://sz.lianjia.com/ershoufang/105113066198.html,3室2厅,88.31,北,其他,高楼层(共28层),2014年
11,南山,业主诚心出售，满五年，看房方便，配套齐全,珑禧,龙岗中心城,,500.0,31694.0,105114609584,https://sz.lianjia.com/ershoufang/105114609584.html,4室2厅,157.76,东南,精装,低楼层(共29层),2015年
12,南山,侨洲花园 2室1厅 南,侨洲花园,白石洲,房本满五年,370.0,64697.0,105115068297,https://sz.lianjia.com/ershoufang/105115068297.html,2室1厅,57.19,南,简装,中楼层(共8层),1993年
13,南山,今日新增笋盘 14号线四联站 满五唯一 税费少,锦冠华城,横岗,房本满五年,430.0,34835.0,105115202395,https://sz.lianjia.com/ershoufang/105115202395.html,3室2厅,123.44,南,精装,高楼层(共11层),2003年
14,南山,大运一手毛坯 改善优选 城景开阔 港中大附属 仅契税,京基御景中央,大运新城,房本满五年,486.0,51250.0,105115242878,https://sz.lianjia.com/ershoufang/105115242878.html,3室2厅,94.83,西南,毛坯,中楼层(共30层),2018年
15,南山,整个小区户型好3房，业主出国急售,石厦花园,石厦,房本满五年,745.0,84143.0,105115277091,https://sz.lianjia.com/ershoufang/105115277091.html,3室2厅,88.54,西南,精装,中楼层(共44层),2018年
16,南山,宝中，地铁口，精装3房，满5，唯一，费用少，诚心出售,灵芝新村,新安,房本满五年,600.0,69687.0,105115280339,https://sz.lianjia.com/ershoufang/105115280339.html,3室2厅,86.1,东南,其他,高楼层(共7层),1987年
17,南山,此房红本，税费各付，买方税费低.新精装,国展苑,布吉关,,138.0,35687.0,105115215099,https://sz.lianjia.com/ershoufang/105115215099.html,1室1厅,38.67,东 东南,简装,30层,1998年
18,南山,万象城商圈 精装复式楼 红本不需社保 诚心售,世界金融中心,万象城,房本满五年,198.0,31464.0,105115259126,https://sz.lianjia.com/ershoufang/105115259126.html,1室2厅,62.93,西,精装,中楼层(共23层),2004年
19,南山,布吉地铁口 3+5+14号三条地铁线交汇 满五唯一红本一房,翡翠星光园,布吉关,房本满五年,147.0,37887.0,105115274715,https://sz.lianjia.com/ershoufang/105115274715.html,1室1厅,38.8,西,简装,28层,2007年
20,南山,万科壹海城，壹海美宅精装修复式两层三面采光红本在手,壹海城,沙头角,,840.0,53992.0,105115209784,https://sz.lianjia.com/ershoufang/105115209784.html,4室2厅,155.58,东南 西北,精装,中楼层(共18层),2014年
21,南山,地铁口五房   业主诚心出售   看房很方便,远洋新干线晶钻广场,龙岗中心城,房本满五年,165.0,25424.0,105111030433,https://sz.lianjia.com/ershoufang/105111030433.html,5室2厅,64.9,西北,简装,中楼层(共22层),2015年
22,南山,房子位于花园中间，安静不吵，采光充足，税费低,阳光棕榈园二期,前海,房本满五年,860.0,74266.0,105114102200,https://sz.lianjia.com/ershoufang/105114102200.html,4室2厅,115.8,南,精装,6层,2003年
23,南山,满五红本在手，刚需三房就看这套,丹梓龙庭,坪山,房本满五年,160.0,17980.0,105115083481,https://sz.lianjia.com/ershoufang/105115083481.html,3室2厅,88.99,北,毛坯,高楼层(共28层),2014年
24,南山,此房满五年，红本在手，南北对流格局好，视线采光好,金地梅陇镇四期,民治,房本满五年,650.0,52471.0,105115062543,https://sz.lianjia.com/ershoufang/105115062543.html,3室1厅,123.88,南,其他,中楼层(共25层),2009年
25,南山,天健郡城南向三房，满五唯一红本，住家安静，随时看房,龙岗天健郡城,龙岗中心城,房本满五年,395.0,36024.0,105115089408,https://sz.lianjia.com/ershoufang/105115089408.html,3室2厅,109.65,南,简装,低楼层(共18层),2005年
26,南山,满五税少，户型方正，保养好，视野宽广，业主诚心出售,锦绣东方,龙岗中心城,房本满五年,440.0,46055.0,105115188276,https://sz.lianjia.com/ershoufang/105115188276.html,4室2厅,95.54,北,简装,中楼层(共11层),2012年
27,南山,中高层，看花园，雅致拎包入住正规大三房，双卫双阳台,中骏四季阳光一期,坪地,房本满五年,305.0,34182.0,105115146681,https://sz.lianjia.com/ershoufang/105115146681.html,3室2厅,89.23,南 北,精装,中楼层(共24层),2016年
28,南山,梅林关滢水山庄一区精装3房两卫 朝南向 随时可看房,滢水山庄,民治,房本满五年,420.0,41908.0,105115099611,https://sz.lianjia.com/ershoufang/105115099611.html,3室1厅,100.22,南,精装,低楼层(共7层),1998年
29,南山,此房满五唯一红本在手看花园采光好 近地铁口,中兆花园,布吉大芬,房本满五年,210.0,33403.0,105115059036,https://sz.lianjia.com/ershoufang/105115059036.html,3室2厅,62.87,东南,简装,高楼层(共8层),2000年
30,南山,14号线地铁口大社区.中间楼层端头位.看房方便,振业天峦,龙岗宝荷,房本满五年,283.0,32499.0,105115152458,https://sz.lianjia.com/ershoufang/105115152458.html,3室2厅,87.08,东南,精装,中楼层(共33层),2014年
31,南山,此房满五年，高楼层，采光充足，视野好无遮挡，,钜建大厦,后海,房本满五年,508.0,58097.0,105115058012,https://sz.lianjia.com/ershoufang/105115058012.html,3室1厅,87.44,东北,简装,高楼层(共24层),1995年
32,南山,金地次新精装房独门都户横厅三房满五税费少,金地名郡园,龙岗中心城,房本满五年,352.0,39941.0,105115187824,https://sz.lianjia.com/ershoufang/105115187824.html,3室2厅,88.13,东南,精装,中楼层(共33层),2016年
33,南山,东南朝向两房 户型实用 业主诚卖,缤纷世纪,龙岗中心城,房本满五年,95.0,22317.0,105115063693,https://sz.lianjia.com/ershoufang/105115063693.html,2室1厅,42.57,东南,简装,中楼层(共31层),2012年
34,南山,满五唯一红本 南向高层厅出阳台业主诚心出售。,英达钰龙园,南头,房本满五年,335.0,80607.0,105115109315,https://sz.lianjia.com/ershoufang/105115109315.html,1室1厅,41.56,南,精装,30层,2004年
